Premise1_Subject,Premise1_Verb,Premise1_Object,Premise2_Subject,Premise2_Verb,Premise2_Object,Conclusion_Subject,Conclusion_Verb,Conclusion_Object
almonds,are,nuts,nuts,contain,oil,oil,can be contained by,almonds
yogurt,is,fermented foods,fermented foods,contain,probiotics,probiotics,can be contained by,yogurt
basil,is,herbs,herbs,flavor,sauces,sauces,can be flavored by,basil
cinnamon,is,spices,spices,flavor,desserts,desserts,can be flavored by,cinnamon
sourdough,is,breads,breads,provide,energy,energy,can be provided by,sourdough
cheddar,is,cheeses,cheeses,provide,protein,protein,can be provided by,cheddar
espresso,is,coffees,coffees,contain,caffeine,caffeine,can be contained by,espresso
tornadoes,are,storms,storms,produce,damage,damage,can be produced by,tornadoes
glaciers,are,ice masses,ice masses,erode,valleys,valleys,can be eroded by,glaciers
earthquakes,are,seismic events,seismic events,release,energy,energy,can be released by,earthquakes
monsoons,are,wind systems,wind systems,bring,rainfall,rainfall,can be brought by,monsoons
lightning,is,electricity,electricity,ionizes,air,air,can be ionized by,lightning
sandstone,is,clastics,clastics,store,water,water,can be stored by,sandstone
coral,are,cnidarians,cnidarians,sting,prey,prey,can be stung by,coral
penguins,are,birds,birds,incubate,eggs,eggs,can be incubated by,penguins
termites,are,insects,insects,build,mounds,mounds,can be built by,termites
orchids,are,plants,plants,produce,nectar,nectar,can be produced by,orchids
cacti,are,succulents,succulents,store,moisture,moisture,can be stored by,cacti
koalas,are,mammals,mammals,digest,eucalyptus,eucalyptus,can be digested by,koalas
dragonflies,are,insects,insects,prey on,mosquitoes,mosquitoes,can be preyed on by,dragonflies
beavers,are,rodents,rodents,chew,wood,wood,can be chewed by,beavers
oysters,are,mollusks,mollusks,filter,plankton,plankton,can be filtered by,oysters
starfish,are,echinoderms,echinoderms,regenerate,arms,arms,can be regenerated by,starfish
tulips,are,flowers,flowers,attract,pollinators,pollinators,can be attracted by,tulips
kelp,are,algae,algae,absorb,nutrients,nutrients,can be absorbed by,kelp
mosses,are,bryophytes,bryophytes,colonize,rocks,rocks,can be colonized by,mosses
lichens,are,symbionts,symbionts,weather,stone,stone,can be weathered by,lichens
sparrows,are,passerines,passerines,eat,seeds,seeds,can be eaten by,sparrows
tigers,are,carnivores,carnivores,hunt,ungulates,ungulates,can be hunted by,tigers
corgis,are,herding dogs,herding dogs,herd,livestock,livestock,can be herded by,corgis
falcons,are,raptors,raptors,capture,prey,prey,can be captured by,falcons
whales,are,cetaceans,cetaceans,produce,sounds,sounds,can be produced by,whales
dolphins,are,odontocetes,odontocetes,use,echolocation,echolocation,can be used by,dolphins
zebras,are,perissodactyls,perissodactyls,graze,grasses,grasses,can be grazed by,zebras
giraffes,are,ungulates,ungulates,browse,leaves,leaves,can be browsed by,giraffes
pandas,are,ursids,ursids,consume,bamboo,bamboo,can be consumed by,pandas
camels,are,camelids,camelids,store,fat,fat,can be stored by,camels
otters,are,mustelids,mustelids,crack,shellfish,shellfish,can be cracked by,otters
ants,are,arthropods,arthropods,build,nests,nests,can be built by,ants
swallows,are,songbirds,songbirds,catch,insects,insects,can be caught by,swallows
kangaroos,are,marsupials,marsupials,carry,joeys,joeys,can be carried by,kangaroos
platypuses,are,monotremes,monotremes,lay,eggs,eggs,can be laid by,platypuses
eagles,are,birds of prey,birds of prey,take,fish,fish,can be taken by,eagles
swans,are,waterfowl,waterfowl,graze,pondweed,pondweed,can be grazed by,swans
trout,are,teleosts,teleosts,inhabit,streams,streams,can be inhabited by,trout
cod,are,gadiforms,gadiforms,provide,omega3,omega3,can be provided by,cod
routers,are,networking devices,networking devices,forward,packets,packets,can be forwarded by,routers
toggles,are,switches,switches,connect,devices,devices,can be connected by,toggles
compilers,are,programs,programs,translate,source code,source code,can be translated by,compilers
browsers,are,software,software,render,webpages,webpages,can be rendered by,browsers
servers,are,computers,computers,host,websites,websites,can be hosted by,servers
printers,are,peripherals,peripherals,produce,documents,documents,can be produced by,printers
accelerometers,are,sensors,sensors,measure,acceleration,acceleration,can be measured by,accelerometers
cameras,are,imagers,imagers,capture,photos,photos,can be captured by,cameras
microphones,are,transducers,transducers,convert,sound,sound,can be converted by,microphones
antennas,are,hardware,hardware,transmit,signals,signals,can be transmitted by,antennas
diamond,is,abrasives,abrasives,scratch,surfaces,surfaces,can be scratched by,diamond
steel,is,alloys,alloys,bear,loads,loads,can be borne by,steel
concrete,is,composites,composites,withstand,compression,compression,can be withstood by,concrete
glass,is,amorphous solids,amorphous solids,transmit,light,light,can be transmitted by,glass
cotton,is,fibers,fibers,absorb,liquid,liquid,can be absorbed by,cotton
silk,is,proteins,proteins,form,threads,threads,can be formed by,silk
nylon,is,polymers,polymers,form,filaments,filaments,can be formed by,nylon
kevlar,is,strong resistant fibers,strong resistant fibers,make,armor,armor,can be made with,kevlar
bronze,is,alloys,alloys,resist,corrosion,corrosion,can be resisted by,bronze
teflon,is,fluoropolymers,fluoropolymers,repel,oil,oil,can be repelled by,teflon
paper,is,cellulosics,cellulosics,absorb,ink,ink,can be absorbed by,paper
