P1,P2,C
a velcro strap is made of velcro,velcro is hook‑and‑loop fastened,a velcro strap is hook‑and‑loop fastened
a bakelite handle is made of bakelite,bakelite is heat‑insulating,a bakelite handle is heat‑insulating
a brass doorknob is made of brass,brass is antimicrobial,a brass doorknob is antimicrobial
a granite pestle is made of granite,granite is heavy and durable,a granite pestle is heavy and durable
a chitin shell is made of chitin,chitin is rigid,a chitin shell is rigid
a porcelain tile is made of porcelain,porcelain is water‑resistant,a porcelain tile is water‑resistant
an asphalt shingle is made of asphalt,asphalt is waterproof,an asphalt shingle is waterproof
a cedar shingle is made of cedar,cedar is rot‑resistant,a cedar shingle is rot‑resistant
a carbon‑steel blade is made of carbon steel,carbon steel holds a sharp edge,a carbon‑steel blade holds a sharp edge
a silicone spatula is made of silicone,silicone withstands high heat,a silicone spatula withstands high heat
a soda‑lime glass jar is made of soda‑lime glass,soda‑lime glass is transparent,a soda‑lime glass jar is transparent
a balsa wood model is made of balsa wood,balsa wood is lightweight,a balsa wood model is lightweight
a titanium bicycle frame is made of titanium,titanium is corrosion‑resistant,a titanium bicycle frame is corrosion‑resistant
a sandstone grinding slab is made of sandstone,sandstone is abrasive,a sandstone grinding slab is abrasive
a flax linen napkin is made of flax linen,flax linen is durable,a flax linen napkin is durable
a basalt rebar is made of basalt,basalt is non‑conductive,a basalt rebar is non‑conductive
a lead fishing weight is made of lead,lead is dense,a lead fishing weight is dense
a polyurethane wheel is made of polyurethane,polyurethane is wear‑resistant,a polyurethane wheel is wear‑resistant
a coconut fiber mat is made of coconut fiber,coconut fiber is coarse and strong,a coconut fiber mat is coarse and strong
