Premise1\_Subject,Premise1\_Verb,Premise1\_Object,Premise2\_Subject,Premise2\_Verb,Premise2\_Object,Conclusion\_Subject,Conclusion\_Verb,Conclusion\_Object
limestone,belongs to,carbonate rocks,carbonate rocks,are,sedimentary materials,limestone,is,sedimentary materials
neuron,belongs to,nerve cells,nerve cells,are,cells,neuron,is,cells
hepatocyte,belongs to,liver cells,liver cells,are,parenchymal cells,hepatocyte,is,parenchymal cells
erythrocyte,belongs to,red blood cells,red blood cells,are,blood cells,erythrocyte,is,blood cells
insulin,belongs to,peptide hormones,peptide hormones,are,signaling molecules,insulin,is,signaling molecules
hemoglobin,belongs to,proteins,proteins,are,biomolecules,hemoglobin,is,biomolecules
dna,belongs to,nucleic acids,nucleic acids,are,biopolymers,dna,is,biopolymers
ribosome,belongs to,organelles,organelles,are,cell components,ribosome,is,cell components
mitochondrion,belongs to,energy organelles,energy organelles,are,cellular structures,mitochondrion,is,cellular structures
covid-19,belongs to,viral diseases,viral diseases,are,infectious diseases,covid-19,is,infectious diseases
measles,belongs to,contagious diseases,contagious diseases,are,transmissible illnesses,measles,is,transmissible illnesses
aspirin,belongs to,nonsteroidal analgesics,nonsteroidal analgesics,are,medications,aspirin,is,medications
penicillin,belongs to,antibiotics,antibiotics,are,antimicrobial drugs,penicillin,is,antimicrobial drugs
kotlin,belongs to,programming languages for jvm,programming languages for jvm,are,software development tools,kotlin,is,software development tools
rust,belongs to,systems programming languages,systems programming languages,are,software engineering tools,rust,is,software engineering tools
react,belongs to,user interface libraries,user interface libraries,are,web development tools,react,is,web development tools
linux,belongs to,operating systems,operating systems,are,system software,linux,is,system software
postgresql,belongs to,relational databases,relational databases,are,data management systems,postgresql,is,data management systems
github,belongs to,code hosting platforms,code hosting platforms,are,developer services,github,is,developer services
saturn v,belongs to,launch vehicles,launch vehicles,are,spacecraft systems,saturn v,is,spacecraft systems
hubble,belongs to,space telescopes,space telescopes,are,observational instruments,hubble,is,observational instruments
europa,belongs to,moons of jupiter,moons of jupiter,are,natural satellites,europa,is,natural satellites
ceres,belongs to,dwarf planets,dwarf planets,are,solar system bodies,ceres,is,solar system bodies
betelgeuse,belongs to,red supergiants,red supergiants,are,stars,betelgeuse,is,stars
andromeda galaxy,belongs to,spiral galaxies,spiral galaxies,are,galactic systems,andromeda galaxy,is,galactic systems
panda,belongs to,ursids,ursids,are,carnivorans,panda,is,carnivorans
platypus,belongs to,monotremes,monotremes,are,egg-laying mammals,platypus,is,egg-laying mammals
emu,belongs to,ratites,ratites,are,paleognaths,emu,is,paleognaths
cobra,belongs to,elapid snakes,elapid snakes,are,venomous reptiles,cobra,is,venomous reptiles
falcon,belongs to,raptors,raptors,are,birds of prey,falcon,is,birds of prey
oyster,belongs to,bivalves,bivalves,are,molluscan animals,oyster,is,molluscan animals
cuttlefish,belongs to,sepiids,sepiids,are,marine invertebrates,cuttlefish,is,marine invertebrates
kiwi,belongs to,flightless birds of new zealand,flightless birds of new zealand,are,endemic fauna,kiwi,is,endemic fauna
lemur,belongs to,strepsirrhines,strepsirrhines,are,primates,lemur,is,primates
blue whale,belongs to,baleen whales,baleen whales,are,megafauna,blue whale,is,megafauna
orca,belongs to,dolphin family,dolphin family,are,toothed whales,orca,is,toothed whales
ballet,belongs to,dance styles,dance styles,are,performing arts,ballet,is,performing arts
symphony,belongs to,classical musical forms,classical musical forms,are,art music genres,symphony,is,art music genres
haiku,belongs to,japanese poetic forms,japanese poetic forms,are,literary genres,haiku,is,literary genres
sonnet,belongs to,european poetic forms,european poetic forms,are,verse types,sonnet,is,verse types
oil painting,belongs to,art techniques,art techniques,are,visual arts,oil painting,is,visual arts
calculus,belongs to,branches of mathematics,branches of mathematics,are,scientific disciplines,calculus,is,scientific disciplines
triangle,belongs to,polygons,polygons,are,plane figures,triangle,is,plane figures
mercury,belongs to,planets,planets,are,celestial bodies,mercury,is,celestial bodies
