If_Clause,Property1,Then_Clause,Then_Verb,Property2,Premise_Subject,Premise_Verb,Premise_Object,Conclusion_Subject,Conclusion_Verb,Conclusion_Object
if something is,a metal,then that something,transfers,heat well,aluminum,prove to be,a metal,aluminum,passes on,heat well
if something is,a nonmetal,then that something,is often,brittle,sulfur,amount to,a nonmetal,sulfur,tends to be,brittle
if something is,a noble gas,then that something,is chemically,inert,neon,constitute,a noble gas,neon,rarely reacts,chemically
if something is,an alkali metal,then that something,reacts,vigorously with water,sodium,represent,an alkali metal,sodium,fizzes in,water
if something is,a halogen,then that something,forms,salts with metals,chlorine,denote,a halogen,chlorine,produces,salts with metals
if something is,an acid,then that something,donates,protons,hydrochloric acid,embody,an acid,hydrochloric acid,gives,protons
if something is,a base,then that something,accepts,protons,ammonia,exemplify,a base,ammonia,takes,protons
if something is,a polar molecule,then that something,dissolves in,water,ethanol,typify,a polar molecule,ethanol,mixes with,water
if something is,a nonpolar molecule,then that something,is insoluble in,water,hexane,characterize,a nonpolar molecule,hexane,does not dissolve in,water
if something is,exothermic,then that something,releases,heat,combustion,illustrate,exothermic,combustion,emits,heat
if something is,endothermic,then that something,absorbs,heat,melting ice,manifest as,endothermic,melting ice,takes in,heat
if something is,a catalyst,then that something,speeds up,a reaction,enzymes,present as,a catalyst,enzymes,accelerate,a reaction
if something is,an oxidizer,then that something,gains,electrons,oxygen,show as,an oxidizer,oxygen,takes on,electrons
if something is,a reducer,then that something,loses,electrons,sodium metal,display as,a reducer,sodium metal,gives up,electrons
if something is,a soluble salt,then that something,dissociates in,water,sodium chloride,exhibit,a soluble salt,sodium chloride,separates in,water
if something is,ferromagnetic,then that something,is attracted to,magnets,iron,possess,ferromagnetic,iron,sticks to,magnets
if something is,radioactive,then that something,emits,ionizing radiation,uranium-238,have,radioactive,uranium-238,gives off,ionizing radiation
if something is,an igneous rock,then that something,forms from,cooled magma,basalt,bear,an igneous rock,basalt,originates from,cooled magma
if something is,a sedimentary rock,then that something,is made from,compacted sediments,sandstone,carry,a sedimentary rock,sandstone,derives from,compacted sediments
if something is,a metamorphic rock,then that something,results from,heat and pressure,marble,hold,a metamorphic rock,marble,arises from,heat and pressure
if something is,a renewable resource,then that something,replenishes,naturally,wind,contain,a renewable resource,wind,renews,naturally
if something is,a nonrenewable resource,then that something,is finite in,supply,crude oil,harbor,a nonrenewable resource,crude oil,has limited,supply
if something is,an aquifer,then that something,stores,groundwater,the Ogallala,feature,an aquifer,the Ogallala,holds,groundwater
if something is,a desert,then that something,receives little,rainfall,the Sahara,include,a desert,the Sahara,gets scant,rainfall
if something is,a rainforest,then that something,shows,high biodiversity,the Amazon,comprise,a rainforest,the Amazon,boasts,high biodiversity
if something is,a glacier,then that something,moves,slowly,the Lambert Glacier,consist of,a glacier,the Lambert Glacier,flows,slowly
if something is,an earthquake,then that something,liberates,seismic energy,the 2011 Tōhoku quake,pertain to,an earthquake,the 2011 Tōhoku quake,lets out,seismic energy
if something is,a volcano,then that something,erupts,lava and ash,Kīlauea,relate to,a volcano,Kīlauea,spews,lava and ash
if something is,a prime number,then that something,has exactly,two positive divisors,thirteen,connect to,a prime number,thirteen,possesses,two positive divisors
if something is,an even number,then that something,is divisible by,two,forty,link to,an even number,forty,divides by,two
if something is,an odd number,then that something,is not divisible by,two,seventy-one,associate with,an odd number,seventy-one,fails to divide by,two
if something is,a right triangle,then that something,contains,a 90-degree angle,a 3-4-5 triangle,correspond to,a right triangle,a 3-4-5 triangle,includes,a 90-degree angle
if something is,an isosceles triangle,then that something,possesses,two equal sides,an isosceles triangle drawn,align with,an isosceles triangle,an isosceles triangle drawn,features,two equal sides
if something is,a rectangle,then that something,exhibits,opposite sides equal,a sheet of A4,match,a rectangle,a sheet of A4,shows,opposite sides equal
if something is,a square,then that something,is both,a rectangle and a rhombus,a chessboard tile,map to,a square,a chessboard tile,qualifies as,a rectangle and a rhombus
if something is,a multiple of three,then that something,divides evenly by,three,eighty-one,tie to,a multiple of three,eighty-one,is evenly divisible by,three
if something is,divisible by nine,then that something,has a digit sum,that is a multiple of nine,ninety-nine,coincide with,divisible by nine,ninety-nine,shows digit sum,that is a multiple of nine
if something is,a rational number,then that something,can be expressed as,a fraction,one point five,accord with,a rational number,one point five,is expressible as,a fraction
if something is,an irrational number,then that something,cannot be expressed as,a fraction,pi,conform to,an irrational number,pi,is inexpressible as,a fraction
if something is,a natural number,then that something,is by definition,a positive integer,seven,adhere to,a natural number,seven,is defined as,a positive integer
if something is,an integer,then that something,is any,whole number,minus four,obey,an integer,minus four,falls within,whole numbers
if something is,a continuous function,then that something,has no,breaks,sin(x),fulfill,a continuous function,sin(x),exhibits no,breaks
if something is,a differentiable function,then that something,has a,derivative everywhere,x^2,live up to,a differentiable function,x^2,admits,a derivative everywhere
if something is,open-source,then that something,permits,modification,the MIT License,comply with,open-source,the MIT License,allows,modification
if something is,encrypted,then that something,requires,a key,TLS traffic,equal,encrypted,TLS traffic,demands,a key
if something is,compressed,then that something,has reduced,size,ZIP files,parallel,compressed,ZIP files,occupies less,space
if something is,lossy,then that something,discards,some data,MP3 audio,mirror,lossy,MP3 audio,throws away,some data
if something is,lossless,then that something,preserves,all data,FLAC audio,are widely regarded as,lossless,FLAC audio,keeps,all data
if something is,a vaccine,then that something,stimulates,immunity,the measles shot,are generally considered,a vaccine,the measles shot,elicits,immunity
if something is,an antibiotic,then that something,kills,bacteria,penicillin,are broadly recognized as,an antibiotic,penicillin,destroys,bacteria
if something is,an antiviral,then that something,inhibits,viruses,oseltamivir,are commonly identified as,an antiviral,oseltamivir,suppresses,viruses
if something is,a planet,then that something,orbits,a star,Earth,are widely labeled as,a planet,Earth,revolves around,a star
if something is,a dwarf planet,then that something,has not cleared,its orbital neighborhood,Pluto,are often termed,a dwarf planet,Pluto,fails to clear,its orbital neighborhood
if something is,a moon,then that something,circles,a planet,Europa,are typically classified as,a moon,Europa,goes around,a planet
if something is,a comet,then that something,develops,a tail near the Sun,Halley’s Comet,are universally defined as,a comet,Halley’s Comet,grows,a tail near the Sun
if something is,an asteroid,then that something,is rocky,and small,Vesta,are commonly regarded as,an asteroid,Vesta,is characterized as,rocky and small
if something is,a red dwarf,then that something,has low,mass,Proxima Centauri,are broadly categorized as,a red dwarf,Proxima Centauri,exhibits low,mass
if something is,a supernova,then that something,constitutes,a stellar explosion,SN 1987A,are officially recognized as,a supernova,SN 1987A,amounts to,a stellar explosion
if something is,a contract,then that something,is legally,binding,signed leases,are legally defined as,a contract,signed leases,binds,legally
if something is,a treaty,then that something,is between,states,the Paris Agreement,are traditionally considered,a treaty,the Paris Agreement,exists between,states
if something is,a felony,then that something,amounts to,a serious crime,armed robbery,are colloquially called,a felony,armed robbery,constitutes,a serious crime
if something is,a misdemeanor,then that something,represents,a less serious offense,petty theft,are popularly known as,a misdemeanor,petty theft,counts as,a less serious offense
if something is,a monopoly,then that something,has a single,seller,utility providers,are widely known as,a monopoly,utility providers,features one,seller
if something is,a competitive market,then that something,has many,sellers,farmers’ markets,are sometimes described as,a competitive market,farmers’ markets,includes many,sellers
if something is,an inflationary period,then that something,shows,rising prices,the 1970s in the US,are frequently referred to as,an inflationary period,the 1970s in the US,exhibits,rising prices
if something is,a recession,then that something,involves,declining GDP,the 2009 downturn,is aptly described as,a recession,the 2009 downturn,entails,declining GDP
if something is,a noun,then that something,names,a person place or thing,river,is best described as,a noun,river,denotes,a person place or thing
if something is,a verb,then that something,expresses,an action or state,"run",are accurately characterized as,a verb,"run",indicates,an action or state
if something is,a proper noun,then that something,is written with,capital letters,"London",are normally considered,a proper noun,"London",uses,capital letters
if something is,a sentence,then that something,begins with,a capital letter,English sentences,are routinely classified as,a sentence,English sentences,starts with,a capital letter
if something is,a triangle,then that something,sums to,180 degrees,any triangle,are customarily recognized as,a triangle,any triangle,adds to,180 degrees
if something is,a square number,then that something,is an integer,times itself,sixteen,are ordinarily regarded as,a square number,sixteen,equals an integer,times itself
if something is,a leap year,then that something,has 366,days,2020,are textbook examples of,a leap year,2020,contains,366 days
if something is,a prime greater than two,then that something,is,odd,nineteen,are prototypical of,a prime greater than two,nineteen,is invariably,odd
if something is,a rectangle with equal sides,then that something,equals,a square,a rhombus with right angles,are archetypal of,a rectangle with equal sides,a rhombus with right angles,is equivalent to,a square
if something is,a right angle,then that something,measures,90 degrees,a corner of a square,are emblematic of,a right angle,a corner of a square,equals,90 degrees
if something is,a polygon with three sides,then that something,is called,a triangle,a three-sided figure,are paradigmatic of,a polygon with three sides,a three-sided figure,is termed,a triangle
