Premise1_Subject,Premise1_Verb,Premise1_Object,Premise2_Subject,Premise2_Verb,Premise2_Object,Conclusion_Subject,Conclusion_Verb,Conclusion_Object
Golden Gate Bridge,falls under,bridges,bridges,span,obstacles,Golden Gate Bridge,span,obstacles
Boeing 747,is part of,airplanes,airplanes,fly through,the sky,Boeing 747,fly through,the sky
bullet train,is a member of,trains,trains,travel on,tracks,bullet train,travel on,tracks
double-decker bus,belongs to,buses,buses,transport,passengers,double-decker bus,transport,passengers
smartphone,is classified as,phones,phones,allow,communication,smartphone,allow,communication
DSLR camera,is,cameras,cameras,record,images,DSLR camera,record,images
electron microscope,is one of,microscopes,microscopes,magnify,tiny objects,electron microscope,magnify,tiny objects
Hubble Telescope,is a kind of,telescopes,telescopes,observe,distant objects,Hubble Telescope,observe,distant objects
chef's knife,is an example of,knives,knives,cut,materials,chef's knife,cut,materials
claw hammer,can be considered,hammers,hammers,drive,nails,claw hammer,drive,nails
circular saw,falls under,saws,saws,cut,wood,circular saw,cut,wood
metric ruler,is part of,rulers,rulers,measure,length,metric ruler,measure,length
mercury thermometer,is a member of,thermometers,thermometers,measure,temperature,mercury thermometer,measure,temperature
aneroid barometer,belongs to,barometers,barometers,measure,air pressure,aneroid barometer,measure,air pressure
analog clock,is classified as,clocks,clocks,measure,time,analog clock,measure,time
wall calendar,is,calendars,calendars,track,dates,wall calendar,track,dates
world map,is one of,maps,maps,show,locations,world map,show,locations
magnetic compass,is a kind of,compasses,compasses,indicate,direction,magnetic compass,indicate,direction
car GPS unit,is an example of,GPS devices,GPS devices,provide,navigation,car GPS unit,provide,navigation
Oxford English Dictionary,can be considered,dictionaries,dictionaries,define,words,Oxford English Dictionary,define,words
Britannica Encyclopedia,falls under,encyclopedias,encyclopedias,contain,information,Britannica Encyclopedia,contain,information
National Geographic magazine,is part of,magazines,magazines,feature,articles,National Geographic magazine,feature,articles
The New York Times,is a member of,newspapers,newspapers,report,news,The New York Times,report,news
technology podcast,belongs to,podcasts,podcasts,deliver,audio content,technology podcast,deliver,audio content
adventure video game,is classified as,video games,video games,offer,interactive entertainment,adventure video game,offer,interactive entertainment
animated movie,is,movies,movies,tell,stories,animated movie,tell,stories
Impressionist painting,is one of,paintings,paintings,depict,scenes,Impressionist painting,depict,scenes
marble sculpture,is a kind of,sculptures,sculptures,represent,figures,marble sculpture,represent,figures
haiku poem,is an example of,poems,poems,express,emotions,haiku poem,express,emotions
pop song,can be considered,songs,songs,convey,melodies,pop song,convey,melodies
Statue of Liberty,falls under,statues,statues,commemorate,figures,Statue of Liberty,commemorate,figures
Mardi Gras festival,is part of,festivals,festivals,celebrate,events,Mardi Gras festival,celebrate,events
