Premise1_Subject,Premise1_Verb,Premise1_Object,Premise2_Subject,Premise2_Verb,Premise2_Object,Example_Clause,Example_Subject,Example_Verb,Conclusion_Subject,Conclusion_Verb,Conclusion_Object
thermometers,are used to,measure temperature with,nurses,measure temperature with,digital thermometers,an example of,thermometers,is,nurses,measure temperature with,digital thermometers
stethoscopes,are designed to,listen to heartbeats with,doctors,listen to heartbeats with,Littmann stethoscopes,an example of,stethoscopes,is,doctors,listen to heartbeats with,Littmann stethoscopes
wheelbarrows,are suitable to,move soil with,gardeners,move soil with,steel wheelbarrows,an example of,wheelbarrows,is,gardeners,move soil with,steel wheelbarrows
ladders,are commonly used to,reach roofs with,painters,reach roofs with,extension ladders,an example of,ladders,is,painters,reach roofs with,extension ladders
printers,often help to,print documents with,office managers,print documents with,laser printers,an example of,printers,is,office managers,print documents with,laser printers
garments,enable people to,keep warm with,mountaineers,keep warm with,parkas,an example of,garments,is,mountaineers,keep warm with,parkas
helmets,are meant to,protect heads with,climbers,protect heads with,climbing helmets,an example of,helmets,is,climbers,protect heads with,climbing helmets
gloves,allow people to,keep hands warm with,skiers,keep hands warm with,insulated gloves,an example of,gloves,is,skiers,keep hands warm with,insulated gloves
boots,are employed to,grip trails with,trekkers of Nepal,grip trails with,hiking boots,an example of,boots,is,trekkers of Nepal,grip trails with,hiking boots
goggles,serve to,see underwater with,swimmers,see underwater with,swim goggles,an example of,goggles,is,swimmers,see underwater with,swim goggles
umbrellas,can help to,stay dry under,commuters,stay dry under,compact umbrellas,an example of,umbrellas,is,commuters,stay dry under,compact umbrellas
hats,can be used to,shade faces with,gardeners' assistants,shade faces with,wide-brim hats,an example of,hats,is,gardeners' assistants,shade faces with,wide-brim hats
respirators,are used to,filter air with,nurses in ICUs,filter air with,N95 respirators,an example of,respirators,is,nurses in ICUs,filter air with,N95 respirators
belts,are designed to,support backs with,powerlifters,support backs with,weightlifting belts,an example of,belts,is,powerlifters,support backs with,weightlifting belts
ovens,are suitable to,bake bread in,bakers at dawn,bake bread in,convection ovens,an example of,ovens,is,bakers at dawn,bake bread in,convection ovens
pans,are commonly used to,sear steaks in,line cooks,sear steaks in,cast-iron pans,an example of,pans,is,line cooks,sear steaks in,cast-iron pans
pots,often help to,simmer soup in,home cooks,simmer soup in,stock pots,an example of,pots,is,home cooks,simmer soup in,stock pots
kettles,enable people to,boil water in,students in dorms,boil water in,electric kettles,an example of,kettles,is,students in dorms,boil water in,electric kettles
microwaves,are meant to,reheat meals in,tenants,reheat meals in,microwave ovens,an example of,microwaves,is,tenants,reheat meals in,microwave ovens
fridges,allow people to,chill drinks in,office workers,chill drinks in,bar fridges,an example of,fridges,is,office workers,chill drinks in,bar fridges
freezers,are employed to,preserve fish in,anglers,preserve fish in,chest freezers,an example of,freezers,is,anglers,preserve fish in,chest freezers
grills,serve to,smoke ribs on,pitmasters,smoke ribs on,charcoal grills,an example of,grills,is,pitmasters,smoke ribs on,charcoal grills
toasters,can help to,toast bread in,roommates,toast bread in,slot toasters,an example of,toasters,is,roommates,toast bread in,slot toasters
rice cookers,can be used to,steam rice in,home economists,steam rice in,induction rice cookers,an example of,rice cookers,is,home economists,steam rice in,induction rice cookers
balls,are used to,play football with,strikers,play football with,soccer balls,an example of,balls,is,strikers,play football with,soccer balls
rackets,are designed to,hit serves with,athletes at Wimbledon,hit serves with,tennis rackets,an example of,rackets,is,athletes at Wimbledon,hit serves with,tennis rackets
bats,are suitable to,strike balls with,openers,strike balls with,cricket bats,an example of,bats,is,openers,strike balls with,cricket bats
clubs,are commonly used to,drive tee shots with,golfers,drive tee shots with,golf clubs,an example of,clubs,is,golfers,drive tee shots with,golf clubs
skis,often help to,descend slopes on,alpinists,descend slopes on,alpine skis,an example of,skis,is,alpinists,descend slopes on,alpine skis
snowboards,enable people to,carve turns on,freeriders,carve turns on,freestyle snowboards,an example of,snowboards,is,freeriders,carve turns on,freestyle snowboards
kayaks,are meant to,explore coasts in,paddlers,explore coasts in,sea kayaks,an example of,kayaks,is,paddlers,explore coasts in,sea kayaks
canoes,allow people to,paddle rivers in,canoeists,paddle rivers in,racing canoes,an example of,canoes,is,canoeists,paddle rivers in,racing canoes
surfboards,are employed to,ride waves on,longboarders,ride waves on,longboards,an example of,surfboards,is,longboarders,ride waves on,longboards
bicycles,serve to,commute on,urban cyclists,commute on,road bikes,an example of,bicycles,is,urban cyclists,commute on,road bikes
computers,can help to,write essays on,undergraduates,write essays on,laptops,an example of,computers,is,undergraduates,write essays on,laptops
phones,can be used to,navigate cities with,solo travelers,navigate cities with,smartphones,an example of,phones,is,solo travelers,navigate cities with,smartphones
routers,are used to,share internet through,households,share internet through,Wi‑Fi routers,an example of,routers,is,households,share internet through,Wi‑Fi routers
projectors,are designed to,show slides with,lecturers,show slides with,LED projectors,an example of,projectors,is,lecturers,show slides with,LED projectors
speakers,are suitable to,listen to music through,audiophiles,listen to music through,bookshelf speakers,an example of,speakers,is,audiophiles,listen to music through,bookshelf speakers
headphones,are commonly used to,block noise with,metro commuters,block noise with,noise-cancelling headphones,an example of,headphones,is,metro commuters,block noise with,noise-cancelling headphones
keyboards,often help to,type code on,programmers,type code on,mechanical keyboards,an example of,keyboards,is,programmers,type code on,mechanical keyboards
tablets,enable people to,sketch concepts on,illustrators,sketch concepts on,drawing tablets,an example of,tablets,is,illustrators,sketch concepts on,drawing tablets
notebooks,are meant to,log experiments in,researchers,log experiments in,lab notebooks,an example of,notebooks,is,researchers,log experiments in,lab notebooks
pipettes,allow people to,dispense reagents with,biologists,dispense reagents with,micropipettes,an example of,pipettes,is,biologists,dispense reagents with,micropipettes
centrifuges,are employed to,separate samples in,technicians,separate samples in,benchtop centrifuges,an example of,centrifuges,is,technicians,separate samples in,benchtop centrifuges
aquariums,serve to,keep corals in,aquarists,keep corals in,reef aquariums,an example of,aquariums,is,aquarists,keep corals in,reef aquariums
terrariums,can help to,grow moss in,hobbyists,grow moss in,glass terrariums,an example of,terrariums,is,hobbyists,grow moss in,glass terrariums
greenhouses,can be used to,raise seedlings in,horticulturists,raise seedlings in,solar greenhouses,an example of,greenhouses,is,horticulturists,raise seedlings in,solar greenhouses
incubators,are used to,hatch chicks in,farmers with flocks,hatch chicks in,egg incubators,an example of,incubators,is,farmers with flocks,hatch chicks in,egg incubators
kilns,are designed to,fire clay in,potters,fire clay in,pottery kilns,an example of,kilns,is,potters,fire clay in,pottery kilns
maps,are suitable to,plan routes with,mountain guides,plan routes with,topographic maps,an example of,maps,is,mountain guides,plan routes with,topographic maps
tents,are commonly used to,sleep in,backcountry campers,sleep in,backpacking tents,an example of,tents,is,backcountry campers,sleep in,backpacking tents
hammocks,often help to,rest in,backpackers,rest in,camping hammocks,an example of,hammocks,is,backpackers,rest in,camping hammocks
stoves,enable people to,melt snow on,high-altitude climbers,melt snow on,camp stoves,an example of,stoves,is,high-altitude climbers,melt snow on,camp stoves
cards,are meant to,pay for groceries with,customers,pay for groceries with,debit cards,an example of,cards,is,customers,pay for groceries with,debit cards
currencies,allow people to,buy tickets with,tourists,buy tickets with,euros,an example of,currencies,is,tourists,buy tickets with,euros
tickets,are employed to,board trains with,commuters with passes,board trains with,train tickets,an example of,tickets,is,commuters with passes,board trains with,train tickets
receipts,serve to,reconcile expenses with,accountants,reconcile expenses with,digital receipts,an example of,receipts,is,accountants,reconcile expenses with,digital receipts
scanners,can help to,check prices with,clerks,check prices with,barcode scanners,an example of,scanners,is,clerks,check prices with,barcode scanners
syringes,can be used to,inject insulin with,diabetics,inject insulin with,insulin syringes,an example of,syringes,is,diabetics,inject insulin with,insulin syringes
inhalers,are used to,relieve attacks with,asthmatics,relieve attacks with,rescue inhalers,an example of,inhalers,is,asthmatics,relieve attacks with,rescue inhalers
braces,are designed to,straighten teeth with,patients in treatment,straighten teeth with,dental braces,an example of,braces,is,patients in treatment,straighten teeth with,dental braces
crutches,are suitable to,walk after injuries with,patients in recovery,walk after injuries with,forearm crutches,an example of,crutches,is,patients in recovery,walk after injuries with,forearm crutches
